State Code,County Code,Crop Code,State,County,State County Code,Crop,Crop Type,Intended Use,Irrigation Practice,Planted Acres,Volunteer Acres,Failed Acres,Prevented Acres,Not Planted Acres,Planted and Failed Acres
01,001,0011,Alabama,Autauga,01001,WHEAT,HARD RED WINTER,Grazing,N,57.93,0,0,0,0,57.93
01,001,0011,Alabama,Autauga,01001,WHEAT,SOFT RED WINTER,Grain,N,232.94,0,0,0,0,232.94
01,001,0016,Alabama,Autauga,01001,OATS,WINTER,Grain,N,187.2,0,0,0,0,187.2
01,001,0021,Alabama,Autauga,01001,COTTON  UPLAND,,,I,570.82,0,0,0,0,570.82
01,001,0021,Alabama,Autauga,01001,COTTON  UPLAND,,,N,8138.78,0,41,0,0,8179.78
01,001,0041,Alabama,Autauga,01001,CORN,SWEET  YELLOW/GOLDEN EARLY,Fresh,N,32.9,0,0,0,0,32.9
01,001,0041,Alabama,Autauga,01001,CORN,YELLOW,Forage,I,86.68,0,0,0,0,86.68
01,001,0041,Alabama,Autauga,01001,CORN,YELLOW,Grain,I,167,0,0,0,0,167
01,001,0041,Alabama,Autauga,01001,CORN,YELLOW,Grain,N,304.24,0,12,0,0,316.24
01,001,0047,Alabama,Autauga,01001,BEANS,GREEN,Fresh,N,5.4,0,0,0,0,5.4
01,001,0051,Alabama,Autauga,01001,SORGHUM,GRAIN,Grain,N,54.37,0,0,0,0,54.37
01,001,0067,Alabama,Autauga,01001,PEAS,CREAM,Fresh,N,3,0,0,0,0,3
01,001,0067,Alabama,Autauga,01001,PEAS,CROWDER,Fresh,N,2,0,0,0,0,2
01,001,0067,Alabama,Autauga,01001,PEAS,ENGLISH/GARDEN,Fresh,N,6.5,0,0,0,0,6.5
01,001,0067,Alabama,Autauga,01001,PEAS,PURPLE HULL,Fresh,N,36.38,0,0,25.54,0,36.38
01,001,0075,Alabama,Autauga,01001,PEANUTS,RUNNER PEANUTS,Nut Peanuts,N,271.64,0,0,0,0,271.64
01,001,0078,Alabama,Autauga,01001,SUNFLOWERS,SUNFLOWER OIL,Forage,N,1.43,0,0,0,0,1.43
01,001,0078,Alabama,Autauga,01001,SUNFLOWERS,SUNFLOWER OIL,Seed,N,18,0,0,0,0,18
01,001,0080,Alabama,Autauga,01001,MILLET,COMMON,Seed,N,5,0,0,0,0,5
01,001,0081,Alabama,Autauga,01001,SOYBEANS,COMMON,Grain,N,657.15,0,2,140.56,0,659.15
01,001,0081,Alabama,Autauga,01001,SOYBEANS,COMMON,Seed,N,0,0,0,145.39,0,0
01,001,0087,Alabama,Autauga,01001,TOMATOES,HYBRID,Fresh,I,1,0,0,0,0,1
01,001,0094,Alabama,Autauga,01001,RYE,,Grazing,N,6.73,0,0,0,0,6.73
01,001,0094,Alabama,Autauga,01001,RYE,,Seed,N,10,0,0,0,0,10
01,001,0099,Alabama,Autauga,01001,CRP,,,N,1972.35,0,0,0,0,1972.35
01,001,0099,Alabama,Autauga,01001,CRP,CP3A HARDWOOD TREE PLANTING,,N,249.4,0,0,0,0,249.4
01,001,0099,Alabama,Autauga,01001,CRP,CP4D PERM WL HABITAT NONEASE,,N,329,0,0,0,0,329
01,001,0101,Alabama,Autauga,01001,FALLOW,,,N,0,82.94,0,0,0,0
01,001,0102,Alabama,Autauga,01001,GRASS,ANNUAL RYEGRASS,Forage,N,16.22,0,0,0,0,16.22
